,model,dic,model_type
2491,angle_mod_1688_1,-50325.12618363696,Collapsing Bounds
1766,angle_mod_1641_1,-50324.6405200629,Collapsing Bounds
1494,angle_mod_1573_1,-50324.59349665288,Collapsing Bounds
2321,angle_mod_1308_1,-50324.06614252769,Collapsing Bounds
919,angle_mod_1183_1,-50322.96025273152,Collapsing Bounds
1155,angle_mod_1585_1,-50322.59542649982,Collapsing Bounds
1216,angle_mod_1747_1,-50322.090905556244,Collapsing Bounds
601,angle_mod_2317_1,-50321.883904473936,Collapsing Bounds
1817,angle_mod_717_1,-50321.244487497715,Collapsing Bounds
353,angle_mod_2376_1,-50321.204757457184,Collapsing Bounds
29,angle_mod_1347_1,-50320.888010868795,Collapsing Bounds
1364,angle_mod_1032_1,-50320.707228163854,Collapsing Bounds
972,angle_mod_1455_1,-50320.36600454044,Collapsing Bounds
2408,angle_mod_1466_1,-50320.132818660444,Collapsing Bounds
1468,angle_mod_1709_1,-50319.72264187432,Collapsing Bounds
306,angle_mod_2320_1,-50319.66583264742,Collapsing Bounds
10,angle_mod_1740_1,-50319.57374117822,Collapsing Bounds
1738,angle_mod_1342_1,-50319.56702191032,Collapsing Bounds
727,angle_mod_1588_1,-50319.4466283447,Collapsing Bounds
2709,angle_mod_2285_1,-50319.32142048329,Collapsing Bounds
1236,angle_mod_1419_1,-50318.887046803015,Collapsing Bounds
2133,angle_mod_2380_1,-50317.54085557652,Collapsing Bounds
1532,angle_mod_1103_1,-50317.37264269901,Collapsing Bounds
2054,angle_mod_1732_1,-50316.72890999775,Collapsing Bounds
1869,angle_mod_1010_1,-50316.355291478176,Collapsing Bounds
152,angle_mod_2286_1,-50316.18626184654,Collapsing Bounds
697,angle_mod_1875_1,-50315.71093661549,Collapsing Bounds
719,angle_mod_2074_1,-50315.547302106505,Collapsing Bounds
809,angle_mod_889_1,-50315.37082990922,Collapsing Bounds
1161,angle_mod_2346_1,-50315.370815206516,Collapsing Bounds
2618,angle_mod_2179_1,-50315.17697029406,Collapsing Bounds
837,angle_mod_2185_1,-50315.127498306305,Collapsing Bounds
1466,angle_mod_1477_1,-50314.757554923526,Collapsing Bounds
2534,angle_mod_1558_1,-50314.681507400244,Collapsing Bounds
2454,angle_mod_1165_1,-50314.675629301164,Collapsing Bounds
1620,angle_mod_1729_1,-50314.05348974451,Collapsing Bounds
713,angle_mod_1988_1,-50313.89573744099,Collapsing Bounds
2730,angle_mod_2378_1,-50313.743740191516,Collapsing Bounds
1822,angle_mod_2368_1,-50313.71690124378,Collapsing Bounds
2510,angle_mod_1775_1,-50313.18935284903,Collapsing Bounds
518,angle_mod_2287_1,-50313.04363258694,Collapsing Bounds
987,angle_mod_2003_1,-50311.384102557095,Collapsing Bounds
2164,angle_mod_1187_1,-50310.57108981828,Collapsing Bounds
1103,angle_mod_1792_1,-50310.53452168291,Collapsing Bounds
1384,angle_mod_976_1,-50309.705269521626,Collapsing Bounds
1908,angle_mod_1525_1,-50309.2176665984,Collapsing Bounds
660,angle_mod_2090_1,-50308.6063975204,Collapsing Bounds
1464,angle_mod_1027_1,-50308.586025538265,Collapsing Bounds
1380,angle_mod_1699_1,-50308.56090962413,Collapsing Bounds
2367,angle_mod_2359_1,-50308.54140838928,Collapsing Bounds
2727,angle_mod_1942_1,-50308.27521689535,Collapsing Bounds
664,angle_mod_1038_1,-50308.117199094784,Collapsing Bounds
420,angle_mod_2198_1,-50308.010984153996,Collapsing Bounds
2610,angle_mod_1094_1,-50307.96645423075,Collapsing Bounds
2337,angle_mod_767_1,-50307.63042375183,Collapsing Bounds
1320,angle_mod_1970_1,-50307.572557829495,Collapsing Bounds
2671,angle_mod_896_1,-50306.90992057096,Collapsing Bounds
1457,angle_mod_1532_1,-50306.75710704921,Collapsing Bounds
1929,angle_mod_1572_1,-50306.4301727944,Collapsing Bounds
1473,angle_mod_2349_1,-50306.279224917824,Collapsing Bounds
862,angle_mod_1654_1,-50306.218293674436,Collapsing Bounds
922,angle_mod_1029_1,-50306.17000048467,Collapsing Bounds
